Country,Currency Name,Code A,Code N,Country_2,Currency_2,Currency_Symbol,Country_currency,Currency_code,Symbol
Afghanistan,Afghan Afghani,AFN,971,Albania,Albanian Lek,L,Albania Lek,ALL,Lek
Albania,Albanian Lek,ALL,8,Argentina,Argentine Peso,$,Afghanistan Afghani,AFN,؋
Algeria,Algerian Dinar,DZD,12,Armenia,Armenian Dram,Դ,Argentina Peso,ARS,$
American Samoa,US Dollar,USD,840,Australia,Australian Dollar,$,Aruba Guilder,AWG,ƒ
Andorra,Euro,EUR,978,Azerbaijan,Azerbaijan Manat,ман,Australia Dollar,AUD,$
Angola,Angolan Kwanza,AOA,973,Belarus,Belarus Ruble,Br,Azerbaijan Manat,AZN,₼
Anguilla,East Caribbean Dollar,XCD,951,Bolivia,Boliviano,Bs.,Bahamas Dollar,BSD,$
Antigua and Barbuda,East Caribbean Dollar,XCD,951,Botswana,Pula,P,Barbados Dollar,BBD,$
Argentina,Argentine Peso,ARS,32,Bulgaria,Bulgaria Lev,Лв.,Belarus Ruble,BYN,Br
Armenia,Armenian Dram,AMD,51,Brazil,Brazilian Real,R$,Belize Dollar,BZD,BZ$
Aruba,Aruban Florin,AWG,533,Cambodia,Cambodia Riel,៛,Bermuda Dollar,BMD,$
Australia,Australian Dollar,AUD,36,Canada,Canadian Dollar,$,Bolivia Bolíviano,BOB,$b
Austria,Euro,EUR,978,China,China Yuan,¥,Bosnia and Herzegovina Convertible Mark,BAM,KM
Azerbaijan,Azerbaijan Manat,AZN,31,Colombia,Colombian Peso,$,Botswana Pula,BWP,P
Bahamas,Bahamian Dollar,BSD,44,Costa Rica,Costa Rican Colon,₡,Bulgaria Lev,BGN,лв
Bahrain,Bahraini Dinar,BHD,48,Croatia,Croatia Kuna,kn,Brazil Real,BRL,R$
Bangladesh,Bangladeshi Taka,BDT,50,Cuba,Cuban Peso,$,Brunei Darussalam Dollar,BND,$
Barbados,Barbados Dollar,BBD,52,Czech Republic,Czech Koruna,Kč,Cambodia Riel,KHR,៛
Belarus,Belarusian Ruble,BYR,974,Denmark,Danish Krone,kr,Canada Dollar,CAD,$
Belgium,Euro,EUR,978,Dominican Republic,Dominican Peso,$,Cayman Islands Dollar,KYD,$
Belize,Belize Dollar,BZD,84,Egypt,Egyptian Pound,£,Chile Peso,CLP,$
Benin,CFA Franc BCEAO,XOF,952,El Salvador,El Salvador Colon,$,China Yuan Renminbi,CNY,¥
Bermuda,Bermudian Dollar,BMD,60,Euro Member Countries   ,Euro,€,Colombia Peso,COP,$
Bhutan,Bhutanese Ngultrum,BTN,64,Fiji,Fiji Dollar,$,Costa Rica Colon,CRC,₡
Bolivia,Boliviano,BOB,68,Ghana,Ghana Cedi,¢,Croatia Kuna,HRK,kn
Bosnia and Herzegovina,Convertible Mark,BAM,977,Guatemala,Guatemala,Q,Cuba Peso,CUP,₱
Botswana,Pula,BWP,72,Guinea,Guinea Franc,₣,Czech Republic Koruna,CZK,Kč
Brazil,Brazilian Real,BRL,986,Guyana,Guyana Dollar,$,Denmark Krone,DKK,kr
Brunei Darussalam,Brunei Dollar,BND,96,Hong Kong,Hong Kong Dollar,$,Dominican Republic Peso,DOP,RD$
Bulgaria,Bulgarian Lev,BGN,975,Honduras,Honduras Lempira,L,East Caribbean Dollar,XCD,$
Burkina Faso,CFA Franc BCEAO,XOF,952,Hungary,Hungary Forint,Ft,Egypt Pound,EGP,£
Burundi,Burundi Franc,BIF,108,Indonesia,Indonesia Rupiah,Rp,El Salvador Colon,SVC,$
Cambodia,Cambodian Riel (the US Dollar is the de facto currency),KHR,116,India,India Rupiah,₹,Euro Member Countries,EUR,€
Cameroon,CFA Franc BEAC,XAF,950,Iceland,Icelandic Krona,kr,Falkland Islands (Malvinas) Pound,FKP,£
Canada,Canadian Dollar,CAD,124,Iran,Iran Rial,﷼,Fiji Dollar,FJD,$
Cape Verde,Cape Verde Escudo,CVE,132,Israel,Israel Shekel,₪,Ghana Cedi,GHS,¢
Cayman Islands,Cayman Islands Dollar,KYD,136,Japan,Japan Yen,¥,Gibraltar Pound,GIP,£
Central African Republic,CFA Franc BEAC,XAF,950,Kazakhstan,Kazakhstan Tenge,лв,Guatemala Quetzal,GTQ,Q
Chad,CFA Franc BEAC,XAF,950,Kenya,Kenyan Shilling,ksh,Guernsey Pound,GGP,£
Chile,Chilean Peso,CLP,152,Kuwait,Kuwaiti Dinar,د.ك,Guyana Dollar,GYD,$
China,Renminbi (Yuan),CNY,156,Malawi,Malawi Kwacha,MK,Honduras Lempira,HNL,L
Christmas Island,Australian Dollar,AUD,36,Malaysia,Malaysia Ringgit,RM,Hong Kong Dollar,HKD,$
Cocos (Keeling) Islands,Australian Dollar,AUD,36,Mexico,Mexico Peso,$,Hungary Forint,HUF,Ft
Colombia,Colombian Peso,COP,170,Morocco,Moroccan Dirham,DH,Iceland Krona,ISK,kr
Comoros,Comoro Franc,KMF,174,Namibia,Namibian Dollar,$,India Rupee,INR,₹
"Congo, Dem. Republic",Franc Congolais,CDF,976,Nepal,Nepalese Rupee,Rs,Indonesia Rupiah,IDR,Rp
"Congo, Republic of",CFA Franc BEAC,XAF,950,New Zealand,New Zealand Dollar,$,Iran Rial,IRR,﷼
